Column1;Column2;Column3;Column4;Column5;Column6;;;;;
46;6763962733800440;9621 Montana Crossing;$5.96;Coffee - Espresso;1706176984;;;;;
49;3554016284991551;33 Del Sol Junction;$7.37;Cocoa Feuilletine;1706176984;;;;;
137;3534391938612282;16670 Melody Road;$0.84;Asparagus - White, Canned;1706176985;;;;;
143;5602226770581397;6 Fairfield Parkway;$0.10;Apples - Sliced / Wedge;1706176985;;;;;
38;4913484251707729;0 Dunning Lane;$9.75;Wine - Malbec Trapiche Reserve;1706176985;;;;;
63;6759768871124238;6103 Schiller Alley;$8.66;Wine - White, Cooking;1706176985;;;;;
105;6304535371152536743;7643 Mayfield Street;$7.98;Watercress;1706176986;;;;;
147;5562487429832346;59453 Mallory Parkway;$5.19;Cookies Almond Hazelnut;1706176986;;;;;
159;378481945317192;5630 Chive Alley;$0.51;Chicken - Base;1706176986;;;;;
37;3544189432223657;5888 Vermont Road;$0.04;Steamers White;1706176986;;;;;
50;3589427333937330;7 Forest Run Trail;$6.13;Olives - Morracan Dired;1706176986;;;;;
7;3565597227618796;11658 Morningstar Place;$6.00;Eggplant - Asian;1706176986;;;;;
157;4041375854965;9498 Dunning Center;$5.68;Tart - Lemon;1706176987;;;;;
158;3562707007234978;7 Badeau Road;$2.20;Juice - Cranberry, 341 Ml;1706176987;;;;;
45;374622807208805;75790 Transport Junction;$4.66;Pail - 15l White, With Handle;1706176987;;;;;
68;30309731065214;0109 Drewry Drive;$5.73;Container - Foam Dixie 12 Oz;1706176987;;;;;
79;3589958859552020;708 Independence Center;$8.50;Remy Red;1706176987;;;;;
132;670607936580323964;6574 Fallview Court;$4.28;Cookie Trail Mix;1706176988;;;;;
161;3589683316705637;624 Debs Crossing;$3.69;Vermouth - Sweet, Cinzano;1706176988;;;;;
18;5602219246350554;8 Susan Road;$8.84;Kolrabi;1706176988;;;;;
35;5177500730145062;372 Rowland Avenue;$9.32;Apples - Sliced / Wedge;1706176988;;;;;
45;3570264771564628;66 Hoepker Way;$0.80;Lettuce - Frisee;1706176988;;;;;
58;3560841668100947;5 Golf Plaza;$8.02;Energy Drink - Redbull 355ml;1706176988;;;;;
172;3576124483659195;394 Crescent Oaks Crossing;$5.79;Muffin Mix - Morning Glory;1706176989;;;;;
183;5100140049598677;1 Scott Center;$3.74;Oil - Food Lacquer Spray;1706176990;;;;;
186;6709950078763544;6852 Sloan Street;$0.95;External Supplier;1706176990;;;;;
29;5893651601665689;01 Drewry Crossing;$6.71;Nantucket - 518ml;1706176990;;;;;
80;3540550122000396;7758 Buhler Alley;$6.52;Veal - Tenderloin, Untrimmed;1706176990;;;;;
95;5641829043962737347;71 Redwing Parkway;$0.16;Jolt Cola - Electric Blue;1706176990;;;;;
187;3550476971682885;887 Grim Hill;$5.77;Beer - Paulaner Hefeweisse;1706176991;;;;;
25;5458108765011363;7 Fisk Avenue;$0.79;Yoplait - Strawbrasp Peac;1706176991;;;;;
35;67065821283468981;229 6th Terrace;$4.05;Rice - Aborio;1706176991;;;;;
37;6399887943168951;7412 Arizona Alley;$5.71;Loquat;1706176991;;;;;
62;560221696637258790;562 Crescent Oaks Street;$9.76;Muffin - Blueberry Individual;1706176991;;;;;
67;3544803051502643;14 Dayton Circle;$0.64;Carrots - Mini, Stem On;1706176991;;;;;
41;3551286210976629;55060 Coleman Alley;$1.91;Pesto - Primerba Paste;1706176992;;;;;
109;5519165552733861;36851 Becker Parkway;$1.95;Spice - Pepper Portions;1706176993;;;;;
111;560222037716170557;07703 Grayhawk Point;$0.81;Trueblue - Blueberry;1706176993;;;;;
13;4017957724735;6 Sugar Place;$5.07;Yucca;1706176993;;;;;
168;5507357032400179;33 High Crossing Road;$3.73;Lotus Leaves;1706176993;;;;;
33;5010121579608101;7 Rusk Circle;$7.15;Cabbage - Green;1706176993;;;;;
158;3582516943383690;63 Orin Center;$8.11;Wine - George Duboeuf Rose;1706176994;;;;;
61;5602222040367691;8498 Cardinal Drive;$8.94;Tomatoes Tear Drop Yellow;1706176994;;;;;
162;3572175208120040;37 Maple Wood Hill;$2.64;Bar - Granola Trail Mix Fruit Nut;1706176995;;;;;
195;5602217356664723;14146 Westport Center;$8.80;Lettuce - Arugula;1706176995;;;;;
41;5602232528129703987;3312 Mariners Cove Terrace;$3.39;Danishes - Mini Cheese;1706176995;;;;;
60;560224392891943767;33 Merry Terrace;$5.57;Wine - Kwv Chenin Blanc South;1706176995;;;;;
64;6709146336819733588;71 Elmside Street;$9.66;Mix - Cocktail Ice Cream;1706176995;;;;;
73;374288879717790;11 Manley Court;$2.28;Wine - Rhine Riesling Wolf Blass;1706176995;;;;;
103;3568980287637566;18069 Buena Vista Plaza;$1.93;Whmis Spray Bottle Graduated;1706176996;;;;;
12;3547155912257454;785 Kingsford Street;$6.35;Lemonade - Natural, 591 Ml;1706176996;;;;;
152;630402681836834940;7 Carberry Street;$3.67;Juice - Orange, 341 Ml;1706176996;;;;;
179;30178620507374;504 7th Avenue;$5.80;Coconut - Whole;1706176996;;;;;
197;3569520692706884;72 Monument Terrace;$8.95;Mix Pina Colada;1706176996;;;;;
12;6398416701636255;50 Ridgeview Parkway;$1.85;Table Cloth 62x120 White;1706176997;;;;;
141;5602216595386437;97 Forest Dale Center;$4.67;Sugar - White Packet;1706176997;;;;;
145;5180905842516404;59 Bowman Crossing;$1.38;Cardamon Ground;1706176997;;;;;
161;3536075478203457;17277 Onsgard Lane;$5.10;Jameson Irish Whiskey;1706176997;;;;;
166;3574841779151064;81 Mosinee Trail;$1.54;Beans - Black Bean, Dry;1706176997;;;;;
173;3574629874030204;63 Kropf Circle;$7.08;Apple - Fuji;1706176997;;;;;
195;4026132942613152;4 Milwaukee Lane;$9.56;Clementine;1706176997;;;;;
137;3552934789569015;97 Rockefeller Circle;$2.78;Foam Cup 6 Oz;1706176998;;;;;
147;346496156570924;40 Starling Hill;$2.08;Nutmeg - Ground;1706176998;;;;;
159;3585964306758578;50189 East Crossing;$5.52;Pomello;1706176998;;;;;
168;3559427447652607;41 Dawn Trail;$7.21;Ice Cream Bar - Oreo Sandwich;1706176998;;;;;
187;67592388064941240;191 Westend Place;$7.71;Pepper - Gypsy Pepper;1706176998;;;;;
37;3576851644058681;6145 Sunnyside Plaza;$0.87;Lettuce - Sea / Sea Asparagus;1706176998;;;;;
47;3556574648995617;23258 West Drive;$7.46;Kiwi Gold Zespri;1706176998;;;;;
129;340806692295677;099 Ilene Way;$1.79;Truffle Shells - White Chocolate;1706176999;;;;;
131;3537994666524293;50605 Onsgard Way;$5.83;Pur Source;1706176999;;;;;
158;3550150875357312;75970 Bay Pass;$9.24;Scallops - U - 10;1706176999;;;;;
18;3585850341468655;5 Summit Street;$3.25;Tea - Apple Green Tea;1706176999;;;;;
199;564182390575203104;0 Pennsylvania Pass;$8.74;Lid - 3oz Med Rec;1706176999;;;;;
32;3541091897731955;4679 Valley Edge Drive;$4.52;Soup - Campbells, Beef Barley;1706176999;;;;;
48;201749780117247;941 Donald Crossing;$5.93;Longos - Grilled Veg Sandwiches;1706176999;;;;;
57;3555100213856223;954 Mitchell Trail;$5.86;Piping - Bags Quizna;1706176999;;;;;
9;5105769215782882;9 Stone Corner Circle;$3.42;Pasta - Gnocchi Potato;1706176999;;;;;
113;3572470034341823;1180 Portage Lane;$0.09;Shichimi Togarashi Peppeers;1706177000;;;;;
117;3534247868566882;01223 Ridge Oak Alley;$9.49;Wine - Casablanca Valley;1706177000;;;;;
123;3588735820412455;88 Gerald Place;$7.68;Lamb - Sausage Casings;1706177000;;;;;
156;3558660341974203;06355 Kim Road;$5.14;Beef Cheek Fresh;1706177000;;;;;
16;5602230709621134;7091 Sherman Crossing;$0.06;Cheese - Swiss;1706177000;;;;;
47;5602224401168882;23277 Shelley Trail;$8.22;Thyme - Fresh;1706177000;;;;;
116;4041379907480272;2195 Lawn Junction;$3.41;Huck Towels White;1706177001;;;;;
130;3563049591114673;5 Rigney Drive;$0.21;Wine - Cotes Du Rhone;1706177001;;;;;
156;6709815935452411939;9 Scofield Junction;$8.99;Langers - Mango Nectar;1706177001;;;;;
18;3565518679245375;2079 Hanover Point;$9.90;Bread - Multigrain;1706177001;;;;;
84;30599524869547;226 Valley Edge Court;$8.11;Beef - Top Sirloin;1706177001;;;;;
115;6383971371250099;302 Prentice Lane;$1.60;Buttons;1706177002;;;;;
190;3584660537494113;616 Fallview Park;$9.28;Liqueur - Melon;1706177002;;;;;
113;5602219236641632;3 Steensland Lane;$6.30;Sword Pick Asst;1706177003;;;;;
153;30129906739512;1322 Del Sol Crossing;$7.43;Salt And Pepper Mix - Black;1706177003;;;;;
66;5610583114331628;5887 Manufacturers Circle;$4.82;Lid - 3oz Med Rec;1706177003;;;;;
98;5602236092218420;5 Dayton Hill;$8.33;Cream - 35%;1706177003;;;;;
12;502052570837601156;1996 Emmet Circle;$5.20;Dill - Primerba, Paste;1706177004;;;;;
148;201535888488055;771 Fuller Hill;$5.79;Bacardi Mojito;1706177004;;;;;
200;201850506326052;26 Kipling Court;$7.55;Kale - Red;1706177004;;;;;
21;374288897054440;631 Buena Vista Point;$0.31;7up Diet 355 Ml;1706177004;;;;;
161;4844763858592988;9 Pepper Wood Park;$6.09;Venison - Racks Frenched;1706177005;;;;;
179;4041378328371;640 Ronald Regan Place;$3.63;Lemonade - Kiwi, 591 Ml;1706177005;;;;;
25;5100179009269028;1248 Utah Center;$7.50;Spice - Peppercorn Melange;1706177005;;;;;
38;3567905654819548;36648 Lakewood Drive;$4.03;Corn - On The Cob;1706177005;;;;;
77;4917102841615444;0335 Dorton Court;$6.22;Extract Vanilla Pure;1706177005;;;;;
1;3575273750827455;433 Lukken Pass;$2.30;Neckerchief Blck;1706177006;;;;;
132;4405211781316365;98270 Tomscot Terrace;$7.48;Bar Mix - Lime;1706177006;;;;;
140;4041593945843;5 Loeprich Pass;$0.41;Wine - Hardys Bankside Shiraz;1706177006;;;;;
170;5220724810449627;5 Anderson Terrace;$9.85;Appetiser - Bought;1706177006;;;;;
93;201703372225397;38735 Kennedy Drive;$7.53;Syrup - Golden, Lyles;1706177006;;;;;
168;3546398108948897;98216 Logan Junction;$3.58;Magnotta Bel Paese Red;1706177007;;;;;
173;3539684518108803;613 Fieldstone Hill;$2.55;Cake - Sheet Strawberry;1706177007;;;;;
194;5602257780916729;44 Dottie Place;$3.48;Pork - Bacon, Sliced;1706177007;;;;;
21;560223860056315618;3826 Sauthoff Hill;$4.96;Kahlua;1706177007;;;;;
128;378310376368798;17 Buhler Place;$4.32;Pepper - Red Thai;1706177008;;;;;
191;493683861551112788;3021 Blue Bill Park Center;$4.41;Bread - Granary Small Pull;1706177008;;;;;
41;3553613588153010;8021 Raven Place;$6.92;Olives - Black, Pitted;1706177008;;;;;
50;4041598543039503;6040 Fisk Avenue;$4.32;Compound - Mocha;1706177008;;;;;
161;3546635602143818;053 Lerdahl Pass;$5.86;Broccoli - Fresh;1706177009;;;;;
198;5602211679828123;6 Summerview Lane;$6.41;Coffee Cup 16oz Foam;1706177009;;;;;
43;3566631197552369;06 Cottonwood Avenue;$6.25;Creme De Menthe Green;1706177009;;;;;
97;374288699665211;283 Magdeline Parkway;$0.75;Avocado;1706177009;;;;;
117;3564641338180683;302 Meadow Ridge Court;$1.72;Napkin - Beverage 1 Ply;1706177010;;;;;
123;30257326855681;18 Sloan Circle;$2.27;Coffee Beans - Chocolate;1706177010;;;;;
82;5002356648603945;2 Anniversary Drive;$7.77;Bread Base - Gold Formel;1706177010;;;;;
108;6761515731612175;007 Thierer Plaza;$2.62;Corn - On The Cob;1706177011;;;;;
139;3532599540282235;5 Anthes Way;$9.45;Carbonated Water - Blackberry;1706177011;;;;;
164;50381783048309707;72 Lotheville Drive;$0.25;Beef - Tenderloin;1706177011;;;;;
182;5007666170902233;03422 Blaine Pass;$0.37;Clam Nectar;1706177012;;;;;
42;4175004284116384;12099 Meadow Vale Junction;$6.58;Pears - Fiorelle;1706177012;;;;;
69;3584791519460176;2 Fuller Avenue;$8.19;Kohlrabi;1706177012;;;;;
104;5480970747050609;13185 Clemons Center;$0.76;Cake - Pancake;1706177013;;;;;
123;5563307504767515;42 Commercial Court;$3.77;Wine - Bouchard La Vignee Pinot;1706177013;;;;;
128;3529868278689886;34 Lotheville Point;$1.01;Food Colouring - Green;1706177013;;;;;
160;3546410869106613;61332 Spohn Crossing;$3.05;Pepper - Red, Finger Hot;1706177013;;;;;
183;374283444734107;9286 Fairfield Hill;$8.53;Wine - Red, Gamay Noir;1706177013;;;;;
2;676119641678564077;7 Saint Paul Pass;$4.13;Sea Bass - Whole;1706177013;;;;;
115;5108759337975222;2748 Meadow Vale Circle;$8.20;Soap - Mr.clean Floor Soap;1706177014;;;;;
197;503890921978090101;0588 Sauthoff Point;$7.60;Pork Salted Bellies;1706177014;;;;;
29;340778662903798;43 Buell Pass;$2.88;Tea Peppermint;1706177014;;;;;
104;502004625783045581;060 Moose Circle;$4.99;Lettuce - Romaine;1706177015;;;;;
146;3556170877560717;31945 Moland Road;$6.88;Garlic - Peeled;1706177015;;;;;
169;3549187844371853;1 Aberg Center;$1.12;Tilapia - Fillets;1706177015;;;;;
176;5176825815628208;6 Ilene Center;$0.25;Fish - Artic Char, Cold Smoked;1706177015;;;;;
194;3583354390376739;18837 Spaight Avenue;$6.27;Nut - Cashews, Whole, Raw;1706177015;;;;;
199;3571261045358893;434 Namekagon Way;$9.24;Lettuce - Arugula;1706177015;;;;;
53;4903890016771069;175 Towne Drive;$8.17;Sobe - Lizard Fuel;1706177015;;;;;
154;347475407534979;6976 Roth Junction;$0.64;Whmis Spray Bottle Graduated;1706177016;;;;;
154;3563937338320829;08 Muir Lane;$1.23;Oil - Cooking Spray;1706177016;;;;;
191;374288004183975;6084 Delaware Hill;$7.07;Cocoa Butter;1706177016;;;;;
79;5407703060805089;56 Eagan Center;$8.11;Wine - Cousino Macul Antiguas;1706177016;;;;;
91;6334005089282032346;0283 Grover Drive;$9.52;Samosa - Veg;1706177016;;;;;
150;5610091513332871683;5 Acker Road;$9.92;Clams - Canned;1706177017;;;;;
162;3544954140176509;0443 Parkside Road;$2.16;Egg Patty Fried;1706177017;;;;;
191;3580475156127355;72116 Old Gate Circle;$6.63;Wine - Chateau Timberlay;1706177017;;;;;
43;337941384255252;38 Vidon Court;$8.51;Bagelers;1706177017;;;;;
71;4175001321026717;392 Fairview Crossing;$2.86;Muskox - French Rack;1706177017;;;;;
71;4844534881480842;89 Artisan Way;$3.55;Pumpkin - Seed;1706177017;;;;;
174;5316246814755424;340 Hagan Junction;$9.63;Lid - 101216 Oz;1706177018;;;;;
56;201809606876101;61632 Vernon Center;$2.78;Sprouts - Alfalfa;1706177018;;;;;
6;5289674281567548;47051 Carioca Hill;$3.18;Appetizer - Tarragon Chicken;1706177018;;;;;
92;633465024361216241;493 Ludington Pass;$8.81;Soup - Cream Of Broccoli, Dry;1706177018;;;;;
97;6334864056189587342;698 Arrowood Alley;$6.18;Beef - Montreal Smoked Brisket;1706177018;;;;;
102;5610125932693506;371 Moland Trail;$1.68;Muffin Mix - Morning Glory;1706177019;;;;;
156;374283851514398;0 Texas Circle;$1.72;Bread Sour Rolls;1706177019;;;;;
20;676163049548591830;55084 Sloan Point;$8.15;Sauce Tomato Pouch;1706177019;;;;;
57;3540346608439996;2975 Bartelt Terrace;$0.28;Maintenance Removal Charge;1706177019;;;;;
62;3528918573507456;0368 Buell Alley;$5.97;Foam Tray S2;1706177019;;;;;
92;5179478195251048;5408 Little Fleur Avenue;$7.03;Tomato Paste;1706177019;;;;;
96;3544996629778529;00309 Russell Terrace;$5.90;Rootbeer;1706177019;;;;;
197;4405378591421840;63869 Sheridan Street;$0.03;Wine - Rioja Campo Viejo;1706177020;;;;;
38;5010123484477176;0693 Dwight Crossing;$8.27;Lemon Pepper;1706177020;;;;;
60;3570401268924622;5863 Weeping Birch Park;$3.22;Island Oasis - Pina Colada;1706177020;;;;;
11;3546326923017689;2711 Ludington Place;$5.48;Lettuce - Escarole;1706177021;;;;;
115;5431373404978545;68321 Mendota Junction;$8.37;Sausage - Chorizo;1706177021;;;;;
150;5100148605617336;332 Dayton Terrace;$3.20;Cornish Hen;1706177021;;;;;
106;4521019976480;2 Moose Pass;$7.84;Pie Shell - 5;1706177022;;;;;
125;4026517255552171;880 Esker Court;$9.86;Bay Leaf Fresh;1706177022;;;;;
2;4041379556376;8 Anniversary Pass;$3.42;Cherries - Fresh;1706177022;;;;;
21;3571127304629763;9 Dottie Way;$6.91;The Pop Shoppe - Black Cherry;1706177022;;;;;
182;5108758324748519;22346 Prairie Rose Park;$7.43;Nantucket - 518ml;1706177023;;;;;
27;564182010375107400;42 Morning Circle;$9.11;Flavouring - Raspberry;1706177023;;;;;
30;3552361629397839;08214 Delladonna Park;$6.20;Tarragon - Primerba, Paste;1706177023;;;;;
186;374622461939992;73 Bluejay Drive;$2.69;Trout - Hot Smkd Dbl Fillet;1706177024;;;;;
88;3533515521151289;22301 Old Gate Avenue;$2.03;Juice - Pineapple, 341 Ml;1706177024;;;;;
182;201661622575005;14543 Maple Court;$5.42;Salt And Pepper Mix - Black;1706177025;;;;;
37;5428181832130877;90620 Northport Drive;$5.32;White Fish - Filets;1706177025;;;;;
116;30510532591841;06 Acker Plaza;$9.23;Cut Wakame - Hanawakaba;1706177026;;;;;
43;5506358654275296;0 Clove Trail;$6.11;Soup - Beef Conomme, Dry;1706177026;;;;;
64;3552329281889781;5323 Holy Cross Crossing;$2.72;Split Peas - Yellow Dry;1706177026;;;;;
73;3528193354872392;65 Westend Terrace;$7.96;Chocolate - Semi Sweet Calets;1706177027;;;;;
92;3550855539246988;6 Fulton Alley;$8.24;Compound - Mocha;1706177027;;;;;
165;5602230838581159;1365 Mcbride Place;$6.82;Shrimp - Black Tiger 26/30;1706177028;;;;;
178;4026751827553603;38 Mcguire Drive;$1.02;Juice - Mango;1706177028;;;;;
180;3585916692230596;705 Springs Lane;$3.31;Curry Powder Madras;1706177028;;;;;
28;3568313968469945;93 Dayton Center;$3.67;Samosa - Veg;1706177028;;;;;
54;3570329749352594;688 Morning Road;$5.75;Vinegar - Champagne;1706177028;;;;;
93;3587550873770514;7570 Beilfuss Alley;$3.88;Salt And Pepper Mix - White;1706177028;;;;;
15;5497032373246216;0508 Amoth Plaza;$2.60;Soup - Campbells, Minestrone;1706177029;;;;;
28;5610519326401718;6 Hintze Hill;$6.56;Pork Loin Bine - In Frenched;1706177029;;;;;
93;377596415092131;9107 Bellgrove Lane;$4.41;Fennel;1706177029;;;;;
111;5602233401546443;6509 Eliot Parkway;$0.68;V8 - Vegetable Cocktail;1706177030;;;;;
114;4903261239751438317;79825 Loftsgordon Court;$7.92;Tea - Herbal Sweet Dreams;1706177030;;;;;
126;3541024646154344;694 Briar Crest Trail;$6.18;Ham - Cooked Italian;1706177030;;;;;
153;5100179351196746;6 John Wall Circle;$3.05;Foil Cont Round;1706177030;;;;;
65;201845040188794;815 Kim Trail;$6.86;Mousse - Banana Chocolate;1706177030;;;;;
68;3572066539249675;9 Havey Way;$1.32;Mushroom - King Eryingii;1706177030;;;;;
68;67094835186063215;144 Birchwood Plaza;$0.90;Cookie Trail Mix;1706177030;;;;;
77;5462773168699868;66224 Caliangt Place;$9.02;Pastry - Butterscotch Baked;1706177030;;;;;
88;3539549740009527;60 Dottie Trail;$6.81;Ostrich - Prime Cut;1706177030;;;;;
109;3532323496640126;8126 Express Trail;$7.36;Cheese - Colby;1706177031;;;;;
39;3530515163923519;4 Summit Pass;$2.26;Chicken - White Meat With Tender;1706177031;;;;;
14;3569789429590479;87637 Spohn Hill;$2.18;Pepper - Pablano;1706177032;;;;;
169;6333940476413614;9713 Bobwhite Park;$9.27;Dried Figs;1706177032;;;;;
67;5602219683086760;04232 Packers Trail;$0.35;Lettuce - Mini Greens, Whole;1706177032;;;;;
10;3576629151180308;914 Monica Junction;$5.69;Appetizer - Cheese Bites;1706177033;;;;;
103;50208382231983476;3295 Clyde Gallagher Hill;$3.47;Pork - Sausage Casing;1706177033;;;;;
152;490360966433639746;4 Autumn Leaf Lane;$0.11;Tea - Herbal I Love Lemon;1706177033;;;;;
80;6304166721247590;8 Waxwing Crossing;$9.79;Eggplant - Asian;1706177033;;;;;
143;50388388040055820;631 Prairie Rose Parkway;$5.70;Alize Red Passion;1706177034;;;;;
10;3555756330944935;4 Mayfield Center;$2.11;Toamtoes 6x7 Select;1706177035;;;;;
100;4844957454250872;9328 Old Gate Avenue;$7.51;Soup - French Onion, Dry;1706177035;;;;;
131;30499866280033;7 Hermina Drive;$5.22;Soup - Cream Of Potato / Leek;1706177035;;;;;
163;3578804816465281;0746 Main Point;$3.99;Oregano - Dry, Rubbed;1706177035;;;;;
50;5432017950664954;9 Maywood Center;$7.73;Veal - Brisket, Provimi, Bone - In;1706177035;;;;;
71;5570301223009193;875 Texas Alley;$1.37;Brandy - Bar;1706177035;;;;;
91;6386018386206604;0 Schiller Drive;$9.17;Appetizer - Sausage Rolls;1706177035;;;;;
13;5364562012559801;15560 Prentice Avenue;$8.01;Soup - Cream Of Broccoli;1706177036;;;;;
137;5100177434913855;4789 Northland Place;$1.26;Pasta - Cannelloni Sheets Fresh;1706177036;;;;;
156;3540599736362957;2 Knutson Park;$5.32;Beef - Ox Tail, Frozen;1706177036;;;;;
188;5602230544230356;18 1st Alley;$3.07;Chilli Paste, Ginger Garlic;1706177036;;;;;
71;3556945725482010;67696 Jenifer Junction;$1.59;Soup - Campbells, Minestrone;1706177036;;;;;
1;3584805958051187;09 Moland Pass;$4.19;Soda Water - Club Soda, 355 Ml;1706177037;;;;;
103;3553624518858685;3270 Norway Maple Drive;$1.63;Wine - White, Pinot Grigio;1706177037;;;;;
16;3577087602757373;9 Green Hill;$6.82;Flour - Semolina;1706177037;;;;;
3;3538840732535681;46224 Brickson Park Parkway;$8.86;Sausage - Blood Pudding;1706177037;;;;;
72;3546950662711622;081 Crownhardt Park;$3.94;Beer - Creemore;1706177037;;;;;
79;5108759790118179;34 Fulton Pass;$0.40;Pepper - Paprika, Spanish;1706177037;;;;;
108;5602229647228440;33 Service Parkway;$1.68;Bacardi Breezer - Tropical;1706177038;;;;;
175;3556990904221821;4026 Towne Center;$6.78;Melon - Watermelon, Seedless;1706177038;;;;;
194;56104181013571299;5 Waywood Crossing;$2.60;Mushroom - Crimini;1706177038;;;;;
6;3539802073663729;3 Karstens Circle;$9.53;Chocolate - Semi Sweet;1706177038;;;;;
11;6706603323931783172;26 Annamark Crossing;$0.97;Iced Tea - Lemon 460 Ml;1706177039;;;;;
110;3570166300491563;20083 Reinke Point;$8.22;Wine - Barolo Fontanafredda;1706177039;;;;;
114;3589495832317205;11 Dawn Point;$8.45;Muffin Hinge - 211n;1706177039;;;;;
40;3560094523828506;53 Dexter Street;$4.69;Jam - Raspberry,jar;1706177039;;;;;
45;3530763611945615;8 Dorton Point;$4.32;Leeks - Large;1706177039;;;;;
5;5610400197655742;10 Hooker Court;$5.80;Danishes - Mini Raspberry;1706177039;;;;;
4;374622363802066;59 Tony Plaza;$7.13;Cake - Bande Of Fruit;1706177040;;;;;
40;633493533988688182;0 Forest Dale Avenue;$3.65;Tomatoes - Roma;1706177040;;;;;
7;3556062255787139;20 Lake View Court;$1.33;Muffin - Blueberry Individual;1706177040;;;;;
17;560222649625994024;56 Mallory Crossing;$1.54;Wine - Tio Pepe Sherry Fino;1706177041;;;;;
182;3574976296263040;0704 Mendota Trail;$4.35;Daves Island Stinger;1706177041;;;;;
21;63040522410943040;1 Laurel Alley;$8.58;Cheese - Cheddar With Claret;1706177041;;;;;
